2004,"1st Qtr",282,285,299
2004,"2nd Qtr",319,320,316
2004,"3rd Qtr",313,306,305
2004,"4th Qtr",310,309,305
2005,"1st Qtr",299,303,320
2005,"2nd Qtr",342,335,343
2005,"3rd Qtr",343,341,341
2005,"4th Qtr",328,319,322
2006,"1st Qtr",307,307,321
2006,"2nd Qtr",309,318,321
2006,"3rd Qtr",324,323,315
2006,"4th Qtr",317,319,309
2007,"1st Qtr",297,302,322
2007,"2nd Qtr",339,337,351
2007,"3rd Qtr",357,349,342
2007,"4th Qtr",336,328,337
2008,"1st Qtr",297,302,320
2008,"2nd Qtr",324,328,337
2008,"3rd Qtr",322,311,305
2008,"4th Qtr",290,289,275
2009,"1st Qtr",252,254,258
2009,"2nd Qtr",257,265,277
2009,"3rd Qtr",264,263,253
2009,"4th Qtr",250,254,248
2010,"1st Qtr",262,255,298
2010,"2nd Qtr",334,337,330
2010,"3rd Qtr",309,300,298
2010,"4th Qtr",295,290,289
2011,"1st Qtr",280,285,300
2011,"2nd Qtr",324,333,331
2011,"3rd Qtr",322,323,312
2011,"4th Qtr",317,312,302
2012,"1st Qtr",299,309,341
2012,"2nd Qtr",342,340,348
2012,"3rd Qtr",358,344,354
2012,"4th Qtr",353,351,347
2013,"1st Qtr",304,305,324
2013,"2nd Qtr",334,348,341
2013,"3rd Qtr",341,334,331
2013,"4th Qtr",305,303,302
2014,"1st Qtr",309,311,326
2014,"2nd Qtr",339,338,330
2014,"3rd Qtr",330,327,321
2014,"4th Qtr",318,308,314
2015,"1st Qtr",304,308,330
2015,"2nd Qtr",352,353,355
2015,"3rd Qtr",334,329,327
2015,"4th Qtr",328,320,321
2016,"1st Qtr",272,279,297
2016,"2nd Qtr",309,309,309
2016,"3rd Qtr",313,298,290
2016,"4th Qtr",305,301,305
2017,"1st Qtr",290,309,333
2017,"2nd Qtr",338,346,356
2017,"3rd Qtr",355,352,353
2017,"4th Qtr",339,348,343
2018,"1st Qtr",312,334,344
2018,"2nd Qtr",370,376,366
2018,"3rd Qtr",364,361,352
2018,"4th Qtr",367,359,342
2019,"1st Qtr",340,344,358
2019,"2nd Qtr",376,393,395
2019,"3rd Qtr",383,375,362
2019,"4th Qtr",352,348,346
2020,"1st Qtr",330,330,330
2020,"2nd Qtr",261,318,343
2020,"3rd Qtr",347,349,342
2020,"4th Qtr",356,357,369
2021,"1st Qtr",335,349,376
2021,"2nd Qtr",385,398,393
2021,"3rd Qtr",390,371,367
2021,"4th Qtr",370,368,380
